KOD INDEKSU	NAZWA INDEKSU	"KMS
(magazyn)"	CENA	WARTOŚĆ
TM-45-00-0215	ROLKA KOPIUJĄCA STOŻKOWA D=150	2.0	583.8300170898438	1167.6600341796875
TM-45-00-0263	Amortyzator uderz.M20X1,5 H=15 L=95 70NM	4.0	563.6099853515625	2254.43994140625
TM-45-00-0855	RUSZTOWANIE SAUGTRAVERSE TXH200 BARGSTED	1.0	21865.900390625	21865.900390625
TM-45-00-2337	PROFIL STOŁU AL 30X15X3300 48066 wemhoner 	30.0	583.030029296875	17490.900390625
TM-45-00-2338	PROFIL STOŁU AL 30X15X3219 57728 WEMHONER	3.0	731.77001953125	2195.31005859375
TM-45-00-2339	PROFIL STOŁU AL 30X15X3219 57729 IMA	3.0	697.0	2091.0
TM-45-00-2483	ZDERZAK 331.013.2538	1.0	1658.3399658203125	1658.3399658203125
TM-45-00-2710	PODZESPÓŁ KFA 10760688	1.0	64796.94140625	64796.94140625
TM-45-00-3222	SPRĘŻYNA IMA 10667883	6.0	123.1500015258789	738.9000244140625
TM-45-00-3554	PŁOZA KOPIAŁ IMA 10657112 5x56x72.5	9.0	719.3200073242188	6473.8798828125
TM-45-00-3555	TULEJA 10657437 fi12/fi6H7x17	1.0	17.389999389648438	17.389999389648438
TM-50-00-0215	FILTR SX 125 um	4.0	235.4600067138672	941.8400268554688
TM-50-00-0216	FILTR AX 125 um	4.0	192.64999389648438	770.5999755859375
TM-50-00-0228	FILTR DO KLEJU 17A 34A 149.591.400	10.0	257.5	2575.0
TM-05-00-0085	Łożysko LR 6000 2RS	98.0	44.20000076293945	4331.60009765625
TM-05-00-1893	ŁOŻYSKO BE20 INA 20x55x16 IMA	4.0	85.83999633789062	343.3599853515625
TM-05-00-1920	ŁOŻYSKO 1560 2Z XL INA ELGES ZKLF	3.0	839.739990234375	2519.219970703125
TM-45-00-2459	ŁOŻYSKO LZ6206 2RSRTNG 	20.0	271.989990234375	5439.7998046875
TM-05-00-0336	Łożysko LR204 NPP 2RS	35.0	62.619998931884766	2191.699951171875
TM-05-00-0337	Łożysko LR206 NPP 2RS 107369 SCHELLING 	45.0	120.7300033569336	5433.0
TM-45-00-3182	ROLKA 11016080/311.001.2186 LR5204 KKD schelling	8.0	404.989990234375	3239.919921875
TM-05-00-0759	ŁOŻYSKO NA4904 2RSR XL	8.0	92.25	738.0
TM-05-00-0263	ŁOŻYSKO NKI 38/20	8.0	64.37000274658203	514.9600219726562
TM-05-00-0439	ŁOŻYSKO NKI 50/35	3.0	156.89999389648438	470.70001220703125
TM-05-00-0860	ŁOŻYSKO 3012 KP41 FLP D-K-TVP-SP-XL	2.0	862.0	1724.0
TM-05-00-0013	ŁOŻYSKO BK 1212-A	2.0	16.709999084472656	33.40999984741211
TM-05-00-0720	ŁOŻYSKO HF0812-L564 SPRZĘGŁO	20.0	21.469999313354492	429.3999938964844
TM-05-00-1516	ŁOŻYSKO KBS 12 PP cpo	10.0	96.29000091552734	962.9000244140625
TM-05-00-0018	Łożysko HK 1015 4-006-10-0069 homag	15.0	8.449999809265137	126.75
TM-05-00-0022	Łożysko HK 1216 2RS	6.0	11.0	66.0
TM-05-00-1718	ŁOŻYSKO HFL 1626-L564	20.0	51.93000030517578	1038.5999755859375
TM-05-00-0026	Łożysko HK 2214 RS	5.0	22.399999618530273	112.0
TM-05-00-0027	ŁOŻYSKO HNH F-205268 INA 4-006-10-0739	63.0	22.3700008392334	1409.31005859375
TM-05-00-0030	Łożysko KH 3050	16.0	49.560001373291016	793.02001953125
TM-05-00-0091	Łożysko KH 2030 7210 R0658X20XX 4-006-07-0087  IM99.03.015	24.0	64.25	1541.9599609375
TM-05-00-1851	ŁOŻYSKO R067011240 10003357 ima	8.0	142.77000427246094	1142.1600341796875
TM-05-00-1962	ŁOŻYSKO KH 12 D=12/19X28 4-006-07-0008	22.0	58.369998931884766	1284.0999755859375
TM-05-00-0084	ŁOŻYSKO GAY 25 NPPB	8.0	44.2599983215332	354.0799865722656
TM-05-00-0514	ŁOŻYSKO GRAE 25-NPPB INA	8.0	52.0	416.0
TM-05-00-0595	ŁOŻYSKO UC 205 L	4.0	35.720001220703125	142.8800048828125
TM-05-00-2153	ŁOŻYSKO SAMONASTWANE US 206 G2	9.0	32.45000076293945	292.04998779296875
TM-05-00-2181	ŁOŻYSKO US 205 G2	9.0	21.690000534057617	195.2100067138672
TM-05-00-0354	ŁOŻYSKO D 208 UC 208 YAR GYE ES 208	1.0	43.66999816894531	43.66999816894531
TM-05-00-0415	ŁOŻYSKO UC 209 SNR YAR GYE	9.0	62.79999923706055	565.2000122070312
TM-05-00-0441	ŁOŻYSKO UC-207 	9.0	43.33000183105469	389.9700012207031
TM-05-00-0574	ŁOŻYSKO YAR 210-2F UC210	13.0	72.1500015258789	937.9500122070312
TM-05-00-1656	TULEJA WCIĄGANA  H-215	3.0	130.0	390.0
TM-05-00-1657	TULEJA WCIĄGANA  H-2313	3.0	91.0	273.0
TM-05-00-1662	TULEJA WCIĄGANA  H-210	3.0	54.0	162.0
TM-45-00-1974	TULEJA H216 WYCIAGOWA  2707A0163 SKF	2.0	273.1000061035156	546.2000122070312
TM-05-00-1669	PODKŁADKA ŁOŻYSKOWA MB-20	3.0	6.400000095367432	19.200000762939453
TM-05-00-1670	PODKŁADKA ŁOŻYSKOWA MB-19	3.0	5.5	16.5
TM-05-00-1675	PODKŁADKA ŁOŻYSKOWA MB-1	3.0	1.5	4.5
TM-05-00-1677	NAKRĘTKA ŁOŻYSKOWA KM4 M20X1	1.0	8.279999732971191	8.279999732971191
TM-05-00-1679	NAKRĘTKA ŁOŻYSKOWA KM1 M12X1	3.0	2.130000114440918	6.389999866485596
TM-05-00-1689	ŁOŻYSKO AXK 0821	4.0	7.800000190734863	31.200000762939453
TM-05-00-0470	ŁOŻYSKO 51104 A 10139 IMA 	2.0	16.68000030517578	33.36000061035156
TM-05-00-1698	ŁOŻYSKO ZKL 51206	3.0	12.0	36.0
TM-05-00-1625	ŁOŻYSKO 1316	3.0	206.1999969482422	618.5999755859375
TM-05-00-1890	ŁOŻYSKO FPD 453 Z ima 	4.0	1051.8199462890625	4207.27978515625
TM-05-00-1629	ŁOŻYSKO 2303	3.0	82.0	246.0
TM-05-00-1631	ŁOŻYSKO 2205	8.0	75.05000305175781	600.4000244140625
TM-05-00-1636	ŁOŻYSKO 3012 K	1.0	931.1500244140625	931.1500244140625
TM-05-00-0076	ŁOŻYSKO 3202 2RS BD-XL	4.0	72.4800033569336	289.9200134277344
TM-05-00-0626	ŁOŻYSKO 3204 BZZRTNG NSK	10.0	79.72000122070312	797.2000122070312
TM-05-00-0643	ŁOŻYSKO 3205 C3 GBB20	4.0	78.0	312.0
TM-05-00-1642	ŁOŻYSKO 2310	1.0	92.0	92.0
TM-05-00-1647	ŁOŻYSKO 3206 C3	1.0	100.61000061035156	100.61000061035156
TM-05-00-1361	ŁOŻYSKO SKF 3303 2904A0003	1.0	388.8299865722656	388.8299865722656
TM-05-00-1653	ŁOŻYSKO 3307	1.0	149.8000030517578	149.8000030517578
TM-05-00-1654	ŁOŻYSKO 3310	1.0	353.79998779296875	353.79998779296875
TM-05-00-1590	ŁOŻYSKO 6014 TBP	2.0	356.0	712.0
TM-05-00-0041	Łożysko 6005 ZZ C3	1.0	11.0	11.0
TM-05-00-0273	ŁOŻYSKO 6008 2Z	16.0	21.420000076293945	342.7200012207031
TM-05-00-0401	ŁOŻYSKO 6008 2RS	34.0	21.510000228881836	731.5
TM-05-00-0685	ŁOŻYSKO 6005 BHTS ZZ  C4 200°C WYSOKOTEMPERATUROWE DO GARNKÓW 	4.0	27.31999969482422	109.27999877929688
TM-05-00-0709	ŁOŻYSKO 6006 ZZ HV	2.0	54.9900016784668	109.9800033569336
TM-05-00-0752	ŁOŻYSKO 6009 2Z	7.0	26.0	182.0
TM-05-00-0839	ŁOŻYSKO 6005 2RSH SKF	3.0	11.600000381469727	34.79999923706055
TM-05-00-1595	ŁOŻYSKO 6006 2RS	3.0	29.6299991607666	88.88999938964844
TM-05-00-1596	ŁOŻYSKO 6005 2Z C4	7.0	12.770000457763672	89.38999938964844
TM-05-00-0168	ŁOŻYSKO 6000 2RS	30.0	5.300000190734863	159.0
TM-05-00-0205	ŁOŻYSKO 6002 2RS IMA 91625	91.0	6.960000038146973	633.3599853515625
TM-05-00-0211	ŁOŻYSKO 6001 2RS	43.0	6.889999866485596	296.2699890136719
TM-05-00-0262	ŁOŻYSKO 6003 2RS	47.0	11.510000228881836	541.1799926757812
TM-05-00-0318	ŁOŻYSKO 6003 ZZ HV	21.0	7.25	152.3300018310547
TM-05-00-0392	ŁOŻYSKO 6004 2Z	7.0	16.59000015258789	116.12999725341797
TM-05-00-0601	ŁOŻYSKO 6004 HV 2Z	6.0	34.79999923706055	208.8000030517578
TM-05-00-0665	ŁOŻYSKO 6004 2rs C3	69.0	8.789999961853027	606.510009765625
TM-05-00-0727	ŁOŻYSKO 6005 2Z	18.0	8.5	152.9600067138672
TM-05-00-0755	ŁOŻYSKO 6001 ZZ GŁOWICE BIESSE	5.0	7.460000038146973	37.310001373291016
TM-05-00-1197	ŁOŻYSKO 6002 2RSLTN9/C3VT162	7.0	25.59000015258789	179.1300048828125
TM-05-00-1598	ŁOŻYSKO 6002 2Z	23.0	6.300000190734863	144.82000732421875
TM-05-00-0001	Łożysko 608 2RS 290100100 Rover	44.0	6.840000152587891	301.0400085449219
TM-05-00-0233	ŁOŻYSKO 608 2Z 4-006-01-0002 	38.0	13.09000015258789	497.4200134277344
TM-05-00-0333	ŁOŻYSKO 609 2RS	15.0	5.75	86.25
TM-05-00-1606	ŁOŻYSKO 206 NPP B ZAMIENNIK 6206	10.0	29.520000457763672	295.20001220703125
TM-05-00-0010	Łożysko 625 2Z	28.0	5.760000228881836	161.27999877929688
TM-05-00-0330	ŁOŻYSKO 627 2RS	20.0	5.909999847412109	118.19999694824219
TM-05-00-0331	ŁOŻYSKO 627 2Z	10.0	6.75	67.5
TM-05-00-0484	ŁOŻYSKO 626 2RS	78.0	6.5	507.0
TM-05-00-0500	ŁOŻYSKO 618/8 (688) 4-006-10-0210	4.0	10.800000190734863	43.20000076293945
TM-05-00-0566	ŁOŻYSKO 625 2RS1	6.0	7.010000228881836	42.060001373291016
TM-05-00-0716	ŁOŻYSKO 618/8 2RS (688)	36.0	25.459999084472656	916.5999755859375
TM-05-00-0838	ŁOŻYSKO 688 2Z 618/8 EZO 	26.0	6.420000076293945	166.89999389648438
TM-05-00-0848	ŁOŻYSKO 628/8 2Z 688 2Z	4.0	7.900000095367432	31.600000381469727
TM-05-00-1608	ŁOŻYSKO 688 RS	10.0	10.800000190734863	108.0
TM-05-00-1964	ŁOŻYSKO DIN 628 7201 BE 2 4-006-01-0100	10.0	125.80000305175781	1258.0
TM-05-00-0012	ŁOŻYSKO 686 (618/6) 6x13x5	20.0	8.079999923706055	161.60000610351562
TM-05-00-0877	ŁOŻYSKO 686 2Z (618/6)	20.0	12.100000381469727	242.0
TM-05-00-1609	ŁOŻYSKO 629 2Z	10.0	6.349999904632568	63.5
TM-05-00-1561	ŁOŻYSKO 1215K	3.0	190.0	570.0
TM-05-00-0520	ŁOŻYSKO 6208 TN9DBGA SKF	5.0	333.0	1665.0
TM-05-00-1483	ŁOŻYSKO 1202 G15 KO	11.0	14.239999771118164	156.6699981689453
TM-05-00-1568	ŁOŻYSKO 1205	3.0	45.599998474121094	136.8000030517578
TM-05-00-2179	ŁOŻYSKO JKOS 060 8210	2.0	219.44000244140625	438.8800048828125
TM-05-00-1220	ŁOŻYSKO 16101-2Z 4-006-10-0388 bhx500	15.0	24.59000015258789	368.8500061035156
TM-05-00-1273	ŁOŻYSKO 16100 2RS 4-006-10-1459 L10	28.0	42.56999969482422	1191.9599609375
TM-05-00-1534	ŁOŻYSKO 16001 2RS 12x28x7 ZEN	15.0	6.400000095367432	96.0
TM-05-00-0005	Łożysko 61803 ZZ 4-006-10-1825 	70.0	63.0	4410.0
TM-05-00-0459	ŁOŻYSKO 61800 2RS1 4-006-10-1705 	12.0	29.389999389648438	352.67999267578125
TM-05-00-0460	ŁOŻYSKO 61800 2Z (6800)	10.0	9.710000038146973	97.0999984741211
TM-05-00-0657	ŁOŻYSKO 61801 2RS1	13.0	23.309999465942383	303.0299987792969
TM-05-00-1577	ŁOŻYSKO 16012	3.0	52.0	156.0
TM-05-00-0006	ŁOŻYSKO 61804 2RS	22.0	31.479999542236328	692.5
TM-05-00-0107	ŁOŻYSKO 61900 2RS	2.0	24.739999771118164	49.47999954223633
TM-05-00-1484	ŁOŻYSKO 61802 2Z (6802)	8.0	13.430000305175781	107.44000244140625
TM-05-00-1520	ŁOŻYSKO 61804 2RS EZO BST507	12.0	12.859999656677246	154.32000732421875
TM-05-00-1737	ŁOŻYSKO 61900 6900 ZZ 1011 IMA	16.0	25.799999237060547	412.79998779296875
TM-05-00-1976	ŁOŻYSKO 61804 2Z 4-006-10-0356	10.0	20.65999984741211	206.60000610351562
TM-05-00-1977	ŁOŻYSKO 61805 2Z 4-006-10-2533	20.0	17.09000015258789	341.79998779296875
TM-05-00-0101	ŁOŻYSKO 61903 2Z 6903 2Z 4-006-10-0325 BHX	100.0	29.0	2900.0
TM-05-00-0119	Łożysko 63800 2RS	8.0	12.65999984741211	101.27999877929688
TM-05-00-0303	ŁOŻYSKO 61908 2RS1	8.0	82.54000091552734	660.3200073242188
TM-05-00-0663	ŁOŻYSKO 61902 2RS DIN 625	8.0	27.770000457763672	222.16000366210938
TM-05-00-0683	ŁOŻYSKO 61904 2RS 6904	12.0	27.790000915527344	333.4200134277344
TM-05-00-1198	ŁOŻYSKO 61903 2Z/C3H 4-006-10-0325	60.0	13.550000190734863	813.0
TM-05-00-1539	ŁOŻYSKO 63801 2RS EZO 12x21x7	10.0	23.0	230.0
TM-05-00-1583	ŁOŻYSKO 61902 2Z 4-006-10-0359	33.0	43.72999954223633	1443.1400146484375
TM-05-00-0425	ŁOŻYSKO 6310 2RS	4.0	76.48999786376953	305.9599914550781
TM-05-00-0245	ŁOŻYSKO 6307 2RS	6.0	32.29999923706055	193.8000030517578
TM-05-00-0289	ŁOŻYSKO 6308 2RS	5.0	46.0	230.0
TM-05-00-0407	ŁOŻYSKO 6307 2Z C3	7.0	32.18000030517578	225.25999450683594
TM-05-00-0433	ŁOŻYSKO 6301 2RS	21.0	10.210000038146973	214.30999755859375
TM-05-00-0620	ŁOŻYSKO 6213 ZZ C3	3.0	105.05999755859375	315.17999267578125
TM-05-00-1485	ŁOŻYSKO 6303 2Z	9.0	10.470000267028809	94.2300033569336
TM-05-00-1550	ŁOŻYSKO 63002 2RS	5.0	26.510000228881836	132.5500030517578
TM-05-00-1711	ŁOŻYSKO 6218	3.0	282.0	846.0
TM-05-00-1909	ŁOŻYSKO 6215 TBP6 C3	2.0	893.719970703125	1787.43994140625
TM-05-00-0394	ŁOŻYSKO 6210 2Z VKS	10.0	38.959999084472656	389.6000061035156
TM-05-00-1555	ŁOŻYSKO 6211 2Z	3.0	45.20000076293945	135.60000610351562
TM-05-00-1556	ŁOŻYSKO 6210 2RS	4.0	34.0	136.0
TM-05-00-0045	Łożysko 6204 SEE A50	10.0	18.979999542236328	189.8000030517578
TM-05-00-0193	Łożysko 6204 2RS 4-006-10-0065	13.0	9.329999923706055	121.29000091552734
TM-05-00-0203	Łożysko 6203 2RS	10.0	7.480000019073486	74.80000305175781
TM-05-00-0204	Łożysko 6204 2Z	9.0	8.079999923706055	72.72000122070312
TM-05-00-0232	Łożysko 6205 2RS	13.0	11.0	143.0
TM-05-00-0334	ŁOŻYSKO 6208 2RS	10.0	31.229999542236328	312.2799987792969
TM-05-00-0346	ŁOŻYSKO 6207 2Z C3	3.0	38.470001220703125	115.41000366210938
TM-05-00-0380	ŁOŻYSKO 6208 ZZ C3	5.0	59.599998474121094	298.0
TM-05-00-0411	ŁOŻYSKO 6206 2RS C3	5.0	19.0	95.0
TM-05-00-0608	ŁOŻYSKO 6204 TBP /C3VT162 SKF	10.0	120.80999755859375	1208.0999755859375
TM-05-00-0772	ŁOŻYSKO 6204 2RSLTN9/C3LHT23 KUPER Gorenie 	5.0	52.900001525878906	264.5
TM-05-00-0864	ŁOŻYSKO 6205 2RSLTN9/HC5C3WT SKF	4.0	140.27000427246094	561.0800170898438
TM-05-00-1786	ŁOŻYSKO 6207 2RS	7.0	24.270000457763672	169.88999938964844
TM-05-00-1892	ŁOZYSKO 6204-2RU C2/L 4-006-10-1331	21.0	14.0	294.0
TM-05-00-0319	ŁOŻYSKO 6202 ZZ HV	12.0	27.549999237060547	330.54998779296875
TM-05-00-0436	ŁOŻYSKO 6205 TBP63 ALNO	7.0	134.64999389648438	942.5499877929688
TM-05-00-0524	ŁOŻYSKO 6201-2RSH	29.0	14.380000114440918	416.95001220703125
TM-05-00-0564	ŁOŻYSKO 6206 TBP63 ALNO	7.0	142.49000549316406	997.4299926757812
TM-05-00-0770	ŁOŻYSKO 6202 HV 2RSLTN9/C3LHT23	6.0	56.04999923706055	336.29998779296875
TM-05-00-1558	ŁOŻYSKO 6201	4.0	7.760000228881836	31.040000915527344
TM-05-00-1741	ŁOŻYSKO 6201 2Z	10.0	8.3100004196167	83.0999984741211
TM-05-00-2092	ŁOŻYSKO DIN 625 6201-2RS 4-006-01-0013	5.0	13.119999885559082	65.5999984741211
TM-05-00-0426	Wózek  MGW15C Z0HM hiwin	4.0	148.5	594.0
TM-05-00-0751	WÓZEK HGW 25 CC HIWIN	7.0	183.30999755859375	1283.1600341796875
TM-05-00-0852	WÓZEK KWSE 35 G3-V2 INA	6.0	563.6500244140625	3381.89990234375
TM-05-00-0278	Łożysko liniowe R044351301 REXROTH	1.0	336.2799987792969	336.2799987792969
TM-05-00-1758	Wózek R165311420 REXROTH	3.0	50.0	150.0
TM-05-00-1759	Wózek R165322320 REXROTH 10447408	17.0	359.1600036621094	6105.68017578125
TM-05-00-1762	Wózek R166521420 REXROTH	10.0	311.75	3117.5
TM-05-00-1779	Wózek R165312320 REXROTH	5.0	259.69000244140625	1298.449951171875
TM-05-00-1843	REXROTH MNR: R166922013 WÓZEK	24.0	387.3500061035156	9296.400390625
TM-05-00-0763	WÓZEK 165111320 rexroth	4.0	293.20001220703125	1172.780029296875
TM-05-00-1535	WÓZEK R165122320 BIMA R1651222324 KWD-025-FNS-C2-H-1/(H-2)	11.0	307.9599914550781	3387.56005859375
TM-05-00-1769	Wózek R165131420 REXROTH	3.0	50.0	150.0
TM-05-00-1339	Wózek R166511420 KWD-15-FKS-C1-N-1 CF300 nie uzywać 	1.0	6727.93994140625	6727.93994140625
TM-05-00-1772	Wózek R167151320 REXROTH	3.0	50.0	150.0
TM-05-00-1774	Wózek R162121420 REXROTH	9.0	332.3800048828125	2991.3798828125
TM-05-00-1775	Wózek R162222320 REXROTH	6.0	379.0	2274.0
TM-05-00-1776	Wózek R162221420 REXROTH	4.0	333.7200012207031	1334.8800048828125
TM-05-00-1777	Wózek R162231420 REXROTH	3.0	50.0	150.0
TM-05-00-1910	WÓZEK R165922119 BSC KWD-025-FNS-C1-N-1S	8.0	827.5	6620.0
TM-45-00-3095	WÓZEK r1853323X  10793272 IMA Rozsuwanie ima	14.0	1324.75	18546.5
TM-05-00-0799	Wózek NAH25ANZ NSK Schelling hf	36.0	354.4100036621094	12758.7001953125
TM-05-00-0892	Wózek NAS25 ALZ NSK 109744 Schelling	21.0	330.1099853515625	6932.39990234375
TM-05-00-1748	ŁOŻYSKO LINIOWE SAH 25 109744/11428917	8.0	746.5499877929688	5972.39990234375
TM-05-00-1791	WÓZEK NSK NAH30EMZ	12.0	400.3299865722656	4803.9599609375
TM-05-00-2130	WÓZEK NAH25ANCG13LCZ 11015119	21.0	670.1900024414062	14073.91015625
TM-45-00-3094	WÓZEK R18513232X IMA 10793274 IMA ROZSUWANIE	5.0	1129.469970703125	5647.35986328125
TM-05-00-0700	WÓZEK SHS20V1SSC1 	7.0	291.6600036621094	2041.6500244140625
TM-05-00-0777	WÓZEK SSR30XW1S THK schelling	3.0	372.20001220703125	1116.5999755859375
TM-05-00-0894	Wózek HSR201SSC1 THK  4-006-10-1415 L10	4.0	269.05999755859375	1076.239990234375
TM-05-00-0052	Łożysko 7206 CTB TBP C-T-P4S-UL 	4.0	444.8699951171875	1779.47998046875
TM-05-00-1486	ŁOŻYSKO 7008 CE/HCPA9AASKF 40x68x15 KUPER SILNIK 	2.0	2819.699951171875	5639.39990234375
TM-05-00-1925	WÓZEK MGN15C Z0HM	2.0	134.6199951171875	269.239990234375
TM-05-00-2010	ŁOŻYSKO LINIOWE QHW 30 CCZAH HIWIN	2.0	261.7799987792969	523.5599975585938
TM-05-00-2131	WÓZEK SSR25-XTBY-SS-G 11484851	4.0	148.0	592.0
TM-05-00-0740	ŁOŻYSKO 7005 BE MPP5UL Schelling	8.0	365.3999938964844	2923.199951171875
TM-05-00-0780	WÓZEK PROWADZĄCY SSR20XW 4-006-10-1622	2.0	74.41999816894531	148.83999633789062
TM-05-00-2007	ŁOŻYSKO IGIEŁKOWE RNA 4908 R	6.0	58.310001373291016	349.8599853515625
TM-05-00-2124	WÓZEK PROWAD SSR15XW SS C1 4-006-10-1615	2.0	509.20001220703125	1018.4000244140625
TM-05-00-2125	WÓZEK PROWADZĄCY HSR20 4-006-10-1568	4.0	65.7300033569336	262.9200134277344
TM-05-00-2158	WÓZEK MSA 15 ESSF0N L10	22.0	82.12999725341797	1806.8399658203125
TM-05-00-0367	ŁOŻYSKO 21314 E	3.0	348.79998779296875	1046.4000244140625
TM-05-00-0745	ŁOŻYSKO 21312 EK	4.0	312.0	1248.0
TM-05-00-0812	WÓZEK 1622-324-20 STR	4.0	437.5299987792969	1750.1199951171875
TM-05-00-0410	ŁOŻYSKO 22208	3.0	124.19999694824219	372.6000061035156
TM-05-00-0454	ŁOŻYSKO 22213 EKW33J	1.0	116.0	116.0
TM-05-00-1915	ŁOŻYSKO 22211 KEJW33	2.0	152.07000732421875	304.1400146484375
TM-05-00-0412	ŁOŻYSKO 22216 EK	1.0	140.0	140.0
TM-05-00-0563	ŁOŻYSKO 7204 BEP	8.0	32.0	256.0
TM-05-00-2003	ŁOŻYSKO SK ZKLF2575-2RS-PE 4-006-10-1255	1.0	1063.8499755859375	1063.8499755859375
TM-05-00-0366	ŁOŻYSKO 30204 J2/Q	10.0	19.920000076293945	199.1999969482422
TM-05-00-0463	ŁOŻYSKO 30210 SNR	9.0	39.869998931884766	358.8299865722656
TM-05-00-0465	ŁOŻYSKO 30211	8.0	62.11000061035156	496.8800048828125
TM-05-00-0681	ŁOŻYSKO 30305M-90KM1	8.0	32.0	256.0
TM-05-00-0682	ŁOŻYSKO 30306M-90KM1	9.0	41.0	369.0
TM-05-00-0269	ŁOŻYSKO 32008-X	8.0	38.79999923706055	310.3999938964844
TM-05-00-0676	ŁOŻYSKO 32305 J2	9.0	42.0	378.0
TM-05-00-0630	ŁOŻYSKO 32207 J2/Q	6.0	25.700000762939453	154.1999969482422
TM-10-15-0974	ZESTAW DWUWARGOWY ZD 211/511 do ŁOŻYSKA 22211	1.0	39.11000061035156	39.11000061035156
TM-05-00-0598	ZESPÓŁ ŁOŻYSKOWY UCP 205	8.0	47.849998474121094	382.79998779296875
TM-35-00-0708	WKŁAD SPRZĘGŁA ROTEX 14  00074675 bima	2.0	65.97000122070312	131.94000244140625
TM-35-00-0919	SPRZĘGŁ TYP EKL/20/B/14/19 4-007-06-0466 plus 2 kanały na wpust 5 i 6 mm	1.0	544.77001953125	544.77001953125
TM-35-00-0999	PIASTA SPRZĘGŁA FI 32 GS28AE	4.0	196.42999267578125	785.719970703125
TM-35-00-1000	ŁĄCZNIK SPRZĘGŁA GS 28	2.0	25.700000762939453	51.400001525878906
TM-35-00-1040	SPRZĘGŁO 4-007-06-0378 GS19/24/6.0-14H7	2.0	859.3800048828125	1718.760009765625
TM-05-00-1523	OPRAWA ŁOŻYSKA FL 208 SNR	5.0	33.79999923706055	169.0
TM-05-00-1703	ZESPÓŁ ŁOŻYSKOWY UCFL 202	2.0	45.9900016784668	91.9800033569336
TM-05-00-1971	OBUDOWA Z ŁOŻYSK. SY50FM 11002751/100780	10.0	271.6300048828125	2716.300048828125
TM-05-00-2180	OPRAWA ŁOŻYSKA FD 205	4.0	20.25	81.0
TM-05-00-0599	ZESPÓŁ ŁOŻYSKOWY UCF 205	4.0	42.29999923706055	169.1999969482422
TM-05-00-1424	OPRAWA F210 ŁOŻYSKA SAMONASTAWNEGO  11413880 100979 schelling 	6.0	127.87999725341797	767.280029296875
TM-10-05-0649	ELEKTROZAWÓR 324ME ZAMK. AZ 3/2 G1/2 PNEUMATIC	1.0	730.0	730.0
